name,province,price,bedroom,bathroom,parkingarea,surfacearea,buildingarea,link
Rumah MURAH!! desain Minimalis &amp; Siap huni Di Bandung Selatan Non KPR,Bandung,314 Juta,2,2,0,70,50,https://www.rumah123.com/properti/bandung/hos7661492/
Bogor nirwana residence Rumah mewah  harga terbaik cluster grand Victoria ,Bogor,900 Juta,3,2,0,72,80,https://www.rumah123.com/properti/bogor/hos9558114/
Rumah Minimalis Siap huni dekat tol,Bandung,250 Juta,2,1,0,60,36,https://www.rumah123.com/properti/bandung/hos8476855/
(06AS) PROMO MENARIK! SUPER IRIT RUMAH MENAWAN DIKAWASAN TAMAN CIBADUYUT INDAH,Bandung,"1,1 Miliar",4,2,2,128,100,https://www.rumah123.com/properti/bandung/hos9183177/
CLUSTER PRIVATE EXCLUSIVE DEPOK,Depok,1 Miliar,3,2,1,103,68,https://www.rumah123.com/properti/depok/hos9761718/
Tipe Ueno di Mustika Village Sukamulya Bekasi,Bekasi,160 Juta,2,1,0,60,25,https://www.rumah123.com/properti/bekasi/hos9537866/
Tipe Uptown Villa di Uptown Estate Bekasi,Bekasi,589 Juta,2,2,0,60,55,https://www.rumah123.com/properti/bekasi/hos9530525/
Cluster Brahmapuri di Podomoro Park Bandung Termurah,Bandung,"3,84 Miliar",5,4,0,140,147,https://www.rumah123.com/properti/bandung/hos9532466/
"HOT DEAL! Bintang Residence Cibubur 50 Meter Jln Utama, 2 Lantai & Rooftop. Sudah All In.",Depok,885 Juta,3,2,2,83,75,https://www.rumah123.com/properti/depok/hos9719240/
Rumah harga promo dikota depok,Depok,290 Juta,2,1,1,60,40,https://www.rumah123.com/properti/depok/hos9621865/
"Hunian Berkualitas, Berkonsep Modern Mewah, Strategis, Legalitas Aman Dan Lengkap",Depok,270 Juta,2,1,1,50,36,https://www.rumah123.com/properti/depok/hos9678542/
TERMURAH Rumah Tanah Luas Strategis Dekat Gateway Pasteur Sukajadi dan SMA 13 Andir Bandung,Bandung,"1,47 Miliar",3,2,1,97,65,https://www.rumah123.com/properti/bandung/hos8817062/
Rumah di Setu Bekasi dengan Fasilitas Berkuda dan Memanah Dekat Rencana Pintu Tol Setu,Bekasi,337 Juta,2,1,1,66,36,https://www.rumah123.com/properti/bekasi/hos9698668/
Rumah Mewah Islami Strategis di Pondok Nurul Fikri,Depok,"2,9 Miliar",4,3,1,155,190,https://www.rumah123.com/properti/depok/hos9715009/
Rumah 305juta Rasa Villa di Ciampea Bogor  Akses Langsung Jalan Raya dilengkapi Musholla dan Minipool serta Playground ,Bogor,305 Juta,1,2,1,36,64,https://www.rumah123.com/properti/bogor/hos9713424/
rumah mewah dan minimalis di bandung,Bandung,350 Juta,3,2,0,100,50,https://www.rumah123.com/properti/bandung/hos7535163/
hunian mewah dan minimalis,Bandung,300 Juta,3,2,0,80,50,https://www.rumah123.com/properti/bandung/hos7494968/
rumah minimalis kualitas premium harga terjangkau,Bandung,150 Juta,2,1,0,45,30,https://www.rumah123.com/properti/bandung/hos7256083/
rumah syariah kota Bandung,Bandung,400 Juta,3,2,0,100,75,https://www.rumah123.com/properti/bandung/hos7939314/
Murahh Siap Nego Raffles Hills LT 250 LB 350 Rapih,Bogor,"4,9 Miliar",5,4,0,250,350,https://www.rumah123.com/properti/bogor/hos9649212/
