name,city,bedroom,bathroom,parkingarea,surfacearea,buildingarea,price
Rumah Nyaman di Jatibening,0,3,3,1,190,153,3220000000
Rumah Minimalis Strategis 1M an 400 mtr Ke Carrefour Kiaracondong Bandung,0,3,3,2,100,140,1380000000
Rumah Siap Huni Strategis 300 Meter Ke Carrefour Buah Batu Bandung,0,2,1,0,50,36,217000000
Rumah murah modern dekat kota bandung,0,3,2,0,74,110,670000000
Cepat Rumah Murah di Cluster Terdepan Harapan Indah Regency Bekasi,0,2,2,0,93,73,1100000000
Rumah Klasik Murah 1M an Samping Transmart Studio Mall Bandung,0,2,1,1,62,40,170000000
Rumah murah chas dan bertahap,0,3,4,2,120,202,2700000000
"Rumah Bagus Sangat Murah,  Masih Baru di Sawangan hanya seharga Mobil  Avanza",0,2,2,2,120,98,1790000000
Rumah Baru Bagus sekali view gunung udara bersih bebas polusi  MURAH .,8,2,1,1,87,80,630000000
"Rumah Murah Banget,  Nyaman Baru Renovasi , Siap Pakai di Harapan Indah Bekasi",0,2,1,1,72,32,399000000
Rumah Bagus Baru Renov cuma seharga Mobil Wuling Mau ? Ayo sebelum keduluan .,2,3,2,1,45,80,550000000
Jarang Ada!! Rumah Baru Lingkungan Nyaman Lokasi Singgasana Pradana,0,2,2,0,90,70,695000000
rumah di mutiara garden city,0,4,3,2,198,230,2600000000
Rumah dalam cluster di pinggir jalan raya kalimulya Depok,0,3,2,1,203,134,2900000000
"Rumah 2 Lantai Siap Huni, Tanah Baru Beiji, Kota Depok.",3,3,2,0,79,84,1050000000
"Cari Rumah di Depok Langsung Pintu Tol, Tinggal Di Kawasan Elit Golf Ke Jakarta Mudah",2,2,1,1,60,40,560000000
Cari Perumahan di Depok KPR Syariah Cicilan Flat ,0,3,2,0,75,140,1320000000
Cari Rumah di Depok Tanah dan Bangunan Luas 2 Lantai Akses Mudah Dekat Stasiun,0,4,3,1,225,200,2500000000
"Rumah Bebas Banjir, di Jatiasih Bekasi. Dekat Toll Jatiasih",2,3,3,2,66,88,1450000000
cepat rumah minimalis di perumahan springville residance  bekasi,0,3,3,2,97,140,2500000000
cepat rumah termurah di duta bumi harapan indah Bekasi,8,3,2,2,102,100,899000000
Rumah mewah cantik siap huni di perumahan taman sari persada jatibening,8,4,3,2,120,160,1950000000
Rumah 2 lantai termurah  di Florencia  cikarang,3,3,2,1,250,100,925000000
rumah hook siap huni di grand melati Jatiwarna pondok gede Bekasi,0,3,3,2,100,150,1750000000
rumah termurah siap huni di bulevar hijau harapan indah Bekasi,2,3,2,0,98,70,775000000
Rumah rapih hook Sentul city,2,3,4,2,91,130,1380000000
Rumah 4 unit akses dekat toll sawangan dan mal DTC,2,3,2,1,60,22,850000000
Super murah nih dijatiasih cuma 400jt an dijamin bebas banjir,2,3,2,0,96,128,1350000000
Hunian mewah 2lantai ready stok dijatiasih harga terjangkau lokasi super strategis,0,3,3,0,190,180,2100000000
Cluster mewah dan istimewa full bata merah dekat ke toll jatibening,0,3,2,0,165,110,1750000000
Siap Huni Smart Home Mewah,0,3,3,0,117,220,2300000000
BEST DEAL!!!RUMAH di CIGADUNG RAYA dekat dengan Kawasan Cafe DAGO,0,2,2,0,148,98,1300000000
Rumah Dijual Murah Segera Daerah Cinere,0,3,2,0,111,107,2000000000
"Sentul city,bogor",0,3,2,1,180,150,2500000000
Rumah Nyaman Termurah Hitung Hanya Harga Tanah Segalaxy,0,3,2,0,90,65,850000000
Rumah Murah Free Biaya Dekat Tol Jagorawi,2,2,1,0,62,27,180000000
Rumah Modern Baru Di Setra duta di Pasteur Bandung,8,2,2,0,40,46,481000000
Rumah Nyaman di Kawasan Strategis Kota Bandung,8,3,2,2,120,80,1580000000
"Rumah Bergaya Scandinavian Siap Huni Dekat Tol Buahbatu, Free Canopy dan Kitchen Set",0,4,4,1,146,200,2800000000
"Rumah Cantik, Luas, Asri, Full Furnished di Sayap Jl.Purwakarta, Antapani",0,3,2,1,102,85,750000000
Rumah murah akses mudah..,0,4,2,1,160,120,1550000000
Rumah murah akses mudah.,0,2,1,0,45,30,327000000
Rumah tengah kota murah,3,4,6,0,247,247,1400000000
cepat rumah di komplek my home,2,3,3,0,77,139,870000000
Rumah mewah cantik di singgasana pradana,0,4,3,2,126,180,2350000000
Dijual Rumah di Komplek Turangga Bandung cocok untuk investasi,0,3,2,0,140,168,1350000000
Rumah Minimalis Lokasi Startegis Bebas Banjir Harga Terjangkau di Kabupaten Bandung,8,2,1,0,45,30,160000000
"Rumah FULL FURNISHED Lokasi Tengah Kota Cuyyy! Nego Sabi Banget! - Kembar Mas, Regol",8,3,2,1,115,100,1900000000
Rumah asri nyaman dengan view gunung jawa baratlokasi strategis dekat tempat wisata di bandung,0,4,2,0,120,70,400000000
DI JUAL RUMAH SIAP HUNI.,0,4,2,0,108,80,400000000
Rumah Nyaman Lingkungan Asri di Kopo Katapang,2,3,2,2,91,130,995000000
Rumah minimalis swimming pool sentul city,2,3,2,0,92,82,700000000
Rumah siap huni view gunung pancar,8,3,2,1,120,80,650000000
rumah dua lantai lokasi bintara jaya akses terdekat pondok kelapa caman kalimalang jakarta timur,3,2,1,0,150,50,700000000
Cluster konsep rumah minimalis di bintara jaya harga termurah lantai 2 lokasi startegis,0,3,3,0,200,200,3000000000
Rumah murah dengan konsep pembangunan indent lokasi strategis angsuran mulai 4jt,8,3,3,0,124,178,2000000000
"Rumah bagus halaman luas, Cihanjuang, Cimahi",0,3,2,0,132,96,750000000
"Rumah Murah dan Nyaman, Taman Cibaduyut Indah, TCI, Bandung Selatan",8,2,1,0,60,45,465000000
Rumah Cantik Asri Hadap Timur Lebar muka 11 meter Harga dibawah 3 Milyar di Tatar Wangsakerta KBP Bandung,2,4,3,0,153,200,1600000000
Rumah Cantik Asri Luas 200 mtr Hadap Timur di Singgasana Pradana Bandung,8,3,3,1,145,240,1650000000
"Turun Harga, Rumah Baru Dalam Cluster di Tengah Kota Bogor ,  Jl. Dadali ,  Hanya 1,05 M",2,4,3,2,162,180,2850000000
"Selangkah Puri Gading, Bebas Banjir, Akses 2 Mobil di Cluster Jatiasih",3,3,3,1,79,80,788000000
Rumah Baru Minimalis Taman Holis Indah 1,2,2,2,1,48,53,675000000
Di Jual Rumah Cantik Buana Mekar Buah Batu Kamar Tidur 4+1,0,2,1,2,50,36,165000000
Rumah tepi Danau Z Living Grand Wisata Bekasi,2,2,1,0,29,60,168000000
Rumah Baru Setraduta Grande Axia,2,2,1,1,60,36,350000000
Rumah Siap Huni 5 Kamar di Kopo Permai Bandung,3,2,1,1,60,45,395000000
Rumah Baru SIAP HUNI ala scandinavian harga terjangkau hanya 5 menit ke gerbang tol juanda,2,4,4,1,216,220,2400000000
